part,cond,measure,score
19,0,bppd,0.51569
19,0,c,0.780253
19,0,hitrate,0.333333
19,0,farate,0.07692308
19,0,mmodel,1
19,0,trust,3
19,0,workload,19
19,0,rt_avg,
19,1,dprime,1.5605
19,1,beta,2.05515
19,1,aprime,0.880876
19,1,bppd,0.515695
19,1,c,0.4616137
19,1,hitrate,0.6666667
19,1,farate,0.076923
19,1,mmodel,7
19,1,trust,2.8
19,1,workload,15
19,1,rt_avg,
19,2,dprime,2.953092
19,2,beta,2.620302
19,2,aprime,1
19,2,bppd,0
19,2,c,0.326196
19,2,hitrate,1
19,2,farate,0
19,2,mmodel,12
19,2,trust,2.9
19,2,workload,11
19,2,rt_avg,
20,0,dprime,1.484104
20,0,beta,4.826762
20,0,aprime,0.83333
20,0,bppd,1
20,0,c,1.060691
20,0,hitrate,0.3333333
20,0,farate,0
20,0,mmodel,7
20,0,trust,4.3
20,0,workload,34
20,0,rt_avg,
20,1,dprime,0.652393
20,1,beta,2.6203
20,1,aprime,0
20,1,bppd,0
20,1,c,1.47654
20,1,hitrate,0
20,1,farate,0
20,1,mmodel,11
20,1,trust,4.3
20,1,workload,25
20,1,rt_avg,
20,2,dprime,2.392216
20,2,beta,1.115681
20,2,aprime,0.980769
20,2,bppd,-1
20,2,c,0.04575871
20,2,hitrate,1
20,2,farate,0.07692308
20,2,mmodel,9
20,2,trust,4.5
20,2,workload,28
20,2,rt_avg,
21,0,dprime,1.484104
21,0,beta,4.826762
21,0,aprime,0.83333
21,0,bppd,1
21,0,c,1.060691
21,0,hitrate,0.3333333
21,0,farate,0
21,0,mmodel,9
21,0,trust,3.5
21,0,workload,19
21,0,rt_avg,
21,1,dprime,2.12138
21,1,beta,4.82676
21,1,aprime,0.916666
21,1,bppd,1
21,1,c,0.742051
21,1,hitrate,0.6666667
21,1,farate,0
21,1,mmodel,8
21,1,trust,3
21,1,workload,14
21,1,rt_avg,
21,2,dprime,2.12138
21,2,beta,4.82676
21,2,aprime,0.916666
21,2,bppd,1
21,2,c,0.742051
21,2,hitrate,0.6666667
21,2,farate,0
21,2,mmodel,2
21,2,trust,3
21,2,workload,9
21,2,rt_avg,
22,0,dprime,0.6435211
22,0,beta,1.898584
22,0,aprime,0.233333
22,0,bppd,1
22,0,c,0.99625
22,0,hitrate,0
22,0,farate,0.066666
22,0,mmodel,-2
22,0,trust,4.2
22,0,workload,23
22,0,rt_avg,
22,1,dprime,0.6435211
22,1,beta,1.898584
22,1,aprime,0.233333
22,1,bppd,1
22,1,c,0.99625
22,1,hitrate,0
22,1,farate,0.066666
22,1,mmodel,-9
22,1,trust,4.2
22,1,workload,19
22,1,rt_avg,
22,2,dprime,0.8664931
22,2,beta,3.365812
22,2,aprime,0
22,2,bppd,0
22,2,c,1.400668
22,2,hitrate,0
22,2,farate,0
22,2,mmodel,-6
22,2,trust,4.5
22,2,workload,13
22,2,rt_avg,
23,0,dprime,0.782347
23,0,beta,1.058388
23,0,aprime,0.76424
23,0,bppd,0.02114804
23,0,c,0.072534
23,0,hitrate,0.6666667
23,0,farate,0.3076923
23,0,mmodel,-4
23,0,trust,3.9
23,0,workload,18
23,0,rt_avg,
23,1,dprime,1.560506
23,1,beta,2.055155
23,1,aprime,0.8808
23,1,bppd,0.51569
23,1,c,0.46
23,1,hitrate,0.666666
23,1,farate,0.07692308
23,1,mmodel,13
23,1,trust,3.4
23,1,workload,22
23,1,rt_avg,
23,2,dprime,1.560506
23,2,beta,2.055155
23,2,aprime,0.8808
23,2,bppd,0.51569
23,2,c,0.46
23,2,hitrate,0.666666
23,2,farate,0.07692308
23,2,mmodel,7
23,2,trust,3.7
23,2,workload,18
23,2,rt_avg,
24,0,dprime,0.782347
24,0,beta,1.058388
24,0,aprime,0.76424
24,0,bppd,0.02114804
24,0,c,0.072534
24,0,hitrate,0.6666667
24,0,farate,0.3076923
24,0,mmodel,2
24,0,trust,2.2
24,0,workload,21
24,0,rt_avg,
24,1,dprime,0.65239
24,1,beta,2.6203
24,1,aprime,0
24,1,bppd,0
24,1,c,1.476546
24,1,hitrate,0
24,1,farate,0
24,1,mmodel,3
24,1,trust,2.3
24,1,workload,15
24,1,rt_avg,
24,2,dprime,2.95
24,2,beta,2.62
24,2,aprime,1
24,2,bppd,0
24,2,c,0.32619
24,2,hitrate,1
24,2,farate,0
24,2,mmodel,5
24,2,trust,2.6
24,2,workload,14
24,2,rt_avg,
25,0,dprime,-0.229526
25,0,beta,0.788443
25,0,aprime,0.21153
25,0,bppd,1
25,0,c,1.035586
25,0,hitrate,0
25,0,farate,0.15384
25,0,mmodel,-4
25,0,trust,3.2
25,0,workload,18
25,0,rt_avg,
25,1,dprime,-0.2395083
25,1,beta,0.81625
25,1,aprime,0.1964286
25,1,bppd,1
25,1,c,0.8476674
25,1,hitrate,0
25,1,farate,0.21428
25,1,mmodel,1
25,1,trust,3
25,1,workload,18
25,1,rt_avg,
25,2,dprime,0.5244005
25,2,beta,1.147399
25,2,aprime,0.6821429
25,2,bppd,0.1011236
25,2,c,0.2622003
25,2,hitrate,0.5
25,2,farate,0.2857143
25,2,mmodel,5
25,2,trust,3.4
25,2,workload,18
25,2,rt_avg,
